	initial_hunter	hunting_season_end	Run	average_welfare	grass
0	5	1	0	25.0	True
1	5	1	1	31.0	True
2	5	1	2	27.0	True
3	5	1	3	22.0	True
4	5	1	4	23.0	True
5	5	1	5	34.0	True
6	5	1	6	24.0	True
7	5	1	7	29.0	True
8	5	1	8	27.0	True
9	5	1	9	21.0	True
10	5	2	10	56.0	True
11	5	2	11	59.0	True
12	5	2	12	42.0	True
13	5	2	13	42.0	True
14	5	2	14	58.0	True
15	5	2	15	40.0	True
16	5	2	16	46.0	True
17	5	2	17	42.0	True
18	5	2	18	46.0	True
19	5	2	19	43.0	True
20	5	3	20	73.0	True
21	5	3	21	74.0	True
22	5	3	22	52.0	True
23	5	3	23	77.0	True
24	5	3	24	74.0	True
25	5	3	25	65.0	True
26	5	3	26	64.0	True
27	5	3	27	69.0	True
28	5	3	28	61.0	True
29	5	3	29	79.0	True
30	5	4	30	68.0	True
31	5	4	31	94.0	True
32	5	4	32	72.0	True
33	5	4	33	91.0	True
34	5	4	34	96.0	True
35	5	4	35	86.0	True
36	5	4	36	87.0	True
37	5	4	37	101.0	True
38	5	4	38	95.0	True
39	5	4	39	90.0	True
40	5	5	40	99.0	True
41	5	5	41	103.0	True
42	5	5	42	113.0	True
43	5	5	43	103.0	True
44	5	5	44	110.0	True
45	5	5	45	98.0	True
46	5	5	46	115.0	True
47	5	5	47	88.0	True
48	5	5	48	108.0	True
49	5	5	49	110.0	True
50	5	6	50	98.0	True
51	5	6	51	115.0	True
52	5	6	52	147.0	True
53	5	6	53	120.0	True
54	5	6	54	167.0	True
55	5	6	55	132.0	True
56	5	6	56	116.0	True
57	5	6	57	138.0	True
58	5	6	58	128.0	True
59	5	6	59	117.0	True
60	5	7	60	159.0	True
61	5	7	61	139.0	True
62	5	7	62	122.0	True
63	5	7	63	129.0	True
64	5	7	64	138.0	True
65	5	7	65	131.0	True
66	5	7	66	140.0	True
67	5	7	67	126.0	True
68	5	7	68	134.0	True
69	5	7	69	127.0	True
70	5	8	70	186.0	True
71	5	8	71	158.0	True
72	5	8	72	159.0	True
73	5	8	73	146.0	True
74	5	8	74	154.0	True
75	5	8	75	152.0	True
76	5	8	76	180.0	True
77	5	8	77	162.0	True
78	5	8	78	166.0	True
79	5	8	79	137.0	True
80	5	9	80	197.0	True
81	5	9	81	185.0	True
82	5	9	82	174.0	True
83	5	9	83	169.0	True
84	5	9	84	182.0	True
85	5	9	85	182.0	True
86	5	9	86	187.0	True
87	5	9	87	165.0	True
88	5	9	88	174.0	True
89	5	9	89	173.0	True
90	5	10	90	198.0	True
91	5	10	91	182.0	True
92	5	10	92	204.0	True
93	5	10	93	194.0	True
94	5	10	94	218.0	True
95	5	10	95	203.0	True
96	5	10	96	184.0	True
97	5	10	97	196.0	True
98	5	10	98	183.0	True
99	5	10	99	187.0	True
100	10	1	100	25.5	True
101	10	1	101	25.0	True
102	10	1	102	23.5	True
103	10	1	103	30.0	True
104	10	1	104	27.0	True
105	10	1	105	23.0	True
106	10	1	106	21.0	True
107	10	1	107	24.5	True
108	10	1	108	17.5	True
109	10	1	109	24.0	True
110	10	2	110	47.5	True
111	10	2	111	44.5	True
112	10	2	112	46.5	True
113	10	2	113	49.5	True
114	10	2	114	48.5	True
115	10	2	115	50.0	True
116	10	2	116	45.0	True
117	10	2	117	50.5	True
118	10	2	118	48.0	True
119	10	2	119	47.0	True
120	10	3	120	56.0	True
121	10	3	121	67.0	True
122	10	3	122	65.0	True
123	10	3	123	80.5	True
124	10	3	124	70.5	True
125	10	3	125	74.0	True
126	10	3	126	72.0	True
127	10	3	127	65.5	True
128	10	3	128	77.0	True
129	10	3	129	58.5	True
130	10	4	130	87.0	True
131	10	4	131	90.0	True
132	10	4	132	87.0	True
133	10	4	133	84.0	True
134	10	4	134	90.0	True
135	10	4	135	95.5	True
136	10	4	136	87.5	True
137	10	4	137	90.5	True
138	10	4	138	89.5	True
139	10	4	139	94.5	True
140	10	5	140	116.0	True
141	10	5	141	98.5	True
142	10	5	142	91.0	True
143	10	5	143	95.5	True
144	10	5	144	89.0	True
145	10	5	145	112.5	True
146	10	5	146	100.5	True
147	10	5	147	113.5	True
148	10	5	148	101.5	True
149	10	5	149	108.0	True
150	10	6	150	107.5	True
151	10	6	151	124.0	True
152	10	6	152	132.0	True
153	10	6	153	132.0	True
154	10	6	154	120.0	True
155	10	6	155	107.5	True
156	10	6	156	121.5	True
157	10	6	157	114.0	True
158	10	6	158	124.5	True
159	10	6	159	127.5	True
160	10	7	160	124.5	True
161	10	7	161	147.5	True
162	10	7	162	131.0	True
163	10	7	163	150.0	True
164	10	7	164	142.5	True
165	10	7	165	124.5	True
166	10	7	166	152.0	True
167	10	7	167	128.0	True
168	10	7	168	127.0	True
169	10	7	169	145.5	True
170	10	8	170	168.0	True
171	10	8	171	140.0	True
172	10	8	172	159.0	True
173	10	8	173	153.5	True
174	10	8	174	146.0	True
175	10	8	175	142.0	True
176	10	8	176	158.5	True
177	10	8	177	158.0	True
178	10	8	178	150.0	True
179	10	8	179	154.5	True
180	10	9	180	154.5	True
181	10	9	181	180.5	True
182	10	9	182	178.0	True
183	10	9	183	175.0	True
184	10	9	184	155.0	True
185	10	9	185	152.0	True
186	10	9	186	177.0	True
187	10	9	187	154.0	True
188	10	9	188	167.0	True
189	10	9	189	166.5	True
190	10	10	190	160.0	True
191	10	10	191	176.0	True
192	10	10	192	194.0	True
193	10	10	193	191.5	True
194	10	10	194	169.5	True
195	10	10	195	194.0	True
196	10	10	196	174.5	True
197	10	10	197	187.5	True
198	10	10	198	177.5	True
199	10	10	199	166.5	True
200	15	1	200	29.0	True
201	15	1	201	29.333333333333332	True
202	15	1	202	21.0	True
203	15	1	203	28.333333333333332	True
204	15	1	204	19.333333333333332	True
205	15	1	205	29.0	True
206	15	1	206	29.0	True
207	15	1	207	27.333333333333332	True
208	15	1	208	26.666666666666668	True
209	15	1	209	24.333333333333332	True
210	15	2	210	53.666666666666664	True
211	15	2	211	49.666666666666664	True
212	15	2	212	40.333333333333336	True
213	15	2	213	49.333333333333336	True
214	15	2	214	51.0	True
215	15	2	215	47.0	True
216	15	2	216	45.0	True
217	15	2	217	46.333333333333336	True
218	15	2	218	43.333333333333336	True
219	15	2	219	49.666666666666664	True
220	15	3	220	65.0	True
221	15	3	221	74.66666666666667	True
222	15	3	222	71.66666666666667	True
223	15	3	223	70.33333333333333	True
224	15	3	224	61.666666666666664	True
225	15	3	225	65.66666666666667	True
226	15	3	226	72.0	True
227	15	3	227	73.0	True
228	15	3	228	79.0	True
229	15	3	229	66.0	True
230	15	4	230	89.33333333333333	True
231	15	4	231	88.66666666666667	True
232	15	4	232	87.33333333333333	True
233	15	4	233	80.66666666666667	True
234	15	4	234	76.33333333333333	True
235	15	4	235	89.0	True
236	15	4	236	91.0	True
237	15	4	237	87.66666666666667	True
238	15	4	238	75.66666666666667	True
239	15	4	239	96.0	True
240	15	5	240	97.66666666666667	True
241	15	5	241	95.66666666666667	True
242	15	5	242	98.33333333333333	True
243	15	5	243	93.66666666666667	True
244	15	5	244	95.33333333333333	True
245	15	5	245	115.66666666666667	True
246	15	5	246	97.33333333333333	True
247	15	5	247	103.66666666666667	True
248	15	5	248	108.33333333333333	True
249	15	5	249	110.66666666666667	True
250	15	6	250	110.0	True
251	15	6	251	115.0	True
252	15	6	252	117.0	True
253	15	6	253	111.66666666666667	True
254	15	6	254	121.66666666666667	True
255	15	6	255	111.66666666666667	True
256	15	6	256	113.66666666666667	True
257	15	6	257	119.33333333333333	True
258	15	6	258	121.0	True
259	15	6	259	104.33333333333333	True
260	15	7	260	145.66666666666666	True
261	15	7	261	128.66666666666666	True
262	15	7	262	132.0	True
263	15	7	263	145.0	True
264	15	7	264	131.33333333333334	True
265	15	7	265	118.33333333333333	True
266	15	7	266	127.33333333333333	True
267	15	7	267	121.33333333333333	True
268	15	7	268	127.0	True
269	15	7	269	131.66666666666666	True
270	15	8	270	155.66666666666666	True
271	15	8	271	148.33333333333334	True
272	15	8	272	138.33333333333334	True
273	15	8	273	135.0	True
274	15	8	274	150.66666666666666	True
275	15	8	275	144.33333333333334	True
276	15	8	276	132.33333333333334	True
277	15	8	277	145.33333333333334	True
278	15	8	278	143.66666666666666	True
279	15	8	279	144.0	True
280	15	9	280	152.33333333333334	True
281	15	9	281	162.33333333333334	True
282	15	9	282	167.66666666666666	True
283	15	9	283	154.66666666666666	True
284	15	9	284	157.66666666666666	True
285	15	9	285	158.66666666666666	True
286	15	9	286	150.66666666666666	True
287	15	9	287	139.33333333333334	True
288	15	9	288	154.66666666666666	True
289	15	9	289	146.0	True
290	15	10	290	184.66666666666666	True
291	15	10	291	167.66666666666666	True
292	15	10	292	164.33333333333334	True
293	15	10	293	167.0	True
294	15	10	294	-841.3333333333334	True
295	15	10	295	-837.0	True
296	15	10	296	167.0	True
297	15	10	297	151.33333333333334	True
298	15	10	298	171.66666666666666	True
299	15	10	299	158.66666666666666	True
300	20	1	300	24.0	True
301	20	1	301	22.5	True
302	20	1	302	26.25	True
303	20	1	303	31.0	True
304	20	1	304	26.5	True
305	20	1	305	24.75	True
306	20	1	306	26.0	True
307	20	1	307	21.5	True
308	20	1	308	30.0	True
309	20	1	309	26.75	True
310	20	2	310	46.25	True
311	20	2	311	51.75	True
312	20	2	312	42.25	True
313	20	2	313	43.5	True
314	20	2	314	52.0	True
315	20	2	315	51.0	True
316	20	2	316	49.0	True
317	20	2	317	41.25	True
318	20	2	318	46.75	True
319	20	2	319	51.5	True
320	20	3	320	63.0	True
321	20	3	321	60.75	True
322	20	3	322	69.0	True
323	20	3	323	77.5	True
324	20	3	324	63.25	True
325	20	3	325	67.0	True
326	20	3	326	66.5	True
327	20	3	327	65.5	True
328	20	3	328	62.5	True
329	20	3	329	70.0	True
330	20	4	330	77.5	True
331	20	4	331	87.25	True
332	20	4	332	77.75	True
333	20	4	333	79.5	True
334	20	4	334	76.0	True
335	20	4	335	86.0	True
336	20	4	336	80.5	True
337	20	4	337	78.75	True
338	20	4	338	86.5	True
339	20	4	339	87.0	True
340	20	5	340	108.25	True
341	20	5	341	89.0	True
342	20	5	342	95.75	True
343	20	5	343	97.5	True
344	20	5	344	92.5	True
345	20	5	345	99.0	True
346	20	5	346	95.0	True
347	20	5	347	96.25	True
348	20	5	348	102.25	True
349	20	5	349	104.0	True
350	20	6	350	109.75	True
351	20	6	351	-896.0	True
352	20	6	352	116.75	True
353	20	6	353	110.5	True
354	20	6	354	110.75	True
355	20	6	355	112.75	True
356	20	6	356	116.25	True
357	20	6	357	111.0	True
358	20	6	358	101.75	True
359	20	6	359	109.0	True
360	20	7	360	121.25	True
361	20	7	361	129.75	True
362	20	7	362	107.5	True
363	20	7	363	125.0	True
364	20	7	364	117.5	True
365	20	7	365	121.5	True
366	20	7	366	-891.75	True
367	20	7	367	120.5	True
368	20	7	368	123.5	True
369	20	7	369	113.0	True
370	20	8	370	128.25	True
371	20	8	371	130.25	True
372	20	8	372	126.5	True
373	20	8	373	133.75	True
374	20	8	374	130.25	True
375	20	8	375	133.75	True
376	20	8	376	133.5	True
377	20	8	377	-868.25	True
378	20	8	378	135.25	True
379	20	8	379	139.25	True
380	20	9	380	143.75	True
381	20	9	381	149.5	True
382	20	9	382	-857.5	True
383	20	9	383	137.0	True
384	20	9	384	-864.75	True
385	20	9	385	143.0	True
386	20	9	386	141.25	True
387	20	9	387	-853.0	True
388	20	9	388	-872.75	True
389	20	9	389	148.5	True
390	20	10	390	-858.5	True
391	20	10	391	160.25	True
392	20	10	392	-868.25	True
393	20	10	393	164.0	True
394	20	10	394	160.25	True
395	20	10	395	159.5	True
396	20	10	396	139.75	True
397	20	10	397	-849.5	True
398	20	10	398	163.75	True
399	20	10	399	153.25	True
400	25	1	400	23.4	True
401	25	1	401	25.8	True
402	25	1	402	21.6	True
403	25	1	403	27.4	True
404	25	1	404	25.4	True
405	25	1	405	22.6	True
406	25	1	406	26.2	True
407	25	1	407	26.6	True
408	25	1	408	23.6	True
409	25	1	409	21.2	True
410	25	2	410	49.4	True
411	25	2	411	43.0	True
412	25	2	412	47.4	True
413	25	2	413	44.4	True
414	25	2	414	43.6	True
415	25	2	415	43.0	True
416	25	2	416	42.4	True
417	25	2	417	45.0	True
418	25	2	418	44.4	True
419	25	2	419	46.0	True
420	25	3	420	59.4	True
421	25	3	421	55.2	True
422	25	3	422	55.6	True
423	25	3	423	66.4	True
424	25	3	424	60.4	True
425	25	3	425	66.6	True
426	25	3	426	65.0	True
427	25	3	427	61.6	True
428	25	3	428	64.6	True
429	25	3	429	64.2	True
430	25	4	430	79.2	True
431	25	4	431	79.4	True
432	25	4	432	76.6	True
433	25	4	433	87.8	True
434	25	4	434	74.8	True
435	25	4	435	84.6	True
436	25	4	436	82.6	True
437	25	4	437	76.8	True
438	25	4	438	83.0	True
439	25	4	439	67.8	True
440	25	5	440	-904.8	True
441	25	5	441	93.6	True
442	25	5	442	86.8	True
443	25	5	443	-902.0	True
444	25	5	444	87.2	True
445	25	5	445	-908.6	True
446	25	5	446	95.2	True
447	25	5	447	93.6	True
448	25	5	448	92.2	True
449	25	5	449	-911.2	True
450	25	6	450	103.4	True
451	25	6	451	99.2	True
452	25	6	452	98.4	True
453	25	6	453	106.6	True
454	25	6	454	97.2	True
455	25	6	455	108.8	True
456	25	6	456	108.2	True
457	25	6	457	110.2	True
458	25	6	458	108.0	True
459	25	6	459	-894.0	True
460	25	7	460	104.2	True
461	25	7	461	112.8	True
462	25	7	462	112.8	True
463	25	7	463	111.4	True
464	25	7	464	-889.6	True
465	25	7	465	111.8	True
466	25	7	466	120.4	True
467	25	7	467	-887.0	True
468	25	7	468	122.2	True
469	25	7	469	110.6	True
470	25	8	470	123.0	True
471	25	8	471	-869.6	True
472	25	8	472	116.2	True
473	25	8	473	126.8	True
474	25	8	474	131.2	True
475	25	8	475	-872.0	True
476	25	8	476	134.2	True
477	25	8	477	136.8	True
478	25	8	478	-881.4	True
479	25	8	479	133.4	True
480	25	9	480	140.6	True
481	25	9	481	130.4	True
482	25	9	482	141.0	True
483	25	9	483	-861.4	True
484	25	9	484	-866.4	True
485	25	9	485	131.0	True
486	25	9	486	-867.8	True
487	25	9	487	-864.8	True
488	25	9	488	-870.8	True
489	25	9	489	139.0	True
490	25	10	490	-861.8	True
491	25	10	491	143.4	True
492	25	10	492	146.8	True
493	25	10	493	139.8	True
494	25	10	494	151.4	True
495	25	10	495	142.4	True
496	25	10	496	139.2	True
497	25	10	497	-854.6	True
498	25	10	498	-871.0	True
499	25	10	499	140.0	True
